"subj_id","left_word","left_number","middle_word","middle_number","right_word","right_number","correct_choice_position","is_catch_trial","participant_response_position_e2","is_consistent","trial_num","chose_gems","chose_onlystones","chose_other","response_position","stoneposition","chose_gems_p2","chose_onlystones_p2","chose_other_p2","response_position_p2","correct_choice_position_p2","rt","rt_p2","mentioned_rule"
"63d5b810f3dbbd11e7e65870","Bow",4,"Sand",4,"Bead",4,"right",FALSE,"right",TRUE,12,TRUE,FALSE,FALSE,"right","middle",TRUE,FALSE,FALSE,"right","right",2191.89999997616,2985.39999997616,FALSE
"66d1fdd400acfdbc181f41e0","Pancakes",2,"Wheel",3,"Wing",3,"left",FALSE,"middle",TRUE,12,FALSE,TRUE,FALSE,"middle","middle",FALSE,TRUE,FALSE,"middle","left",4051,4318,FALSE
"67b636c4ea38855cbb08ffe3","Scissors",2,"Plate",3,"Soap",3,"right",FALSE,"left",FALSE,12,FALSE,TRUE,FALSE,"middle","middle",FALSE,FALSE,TRUE,"left","right",6397.09999990463,2419.30000007153,FALSE
"5e1b795dc799223a3b447ada","Pencil",4,"Video Tape",5,"Triangle",5,"right",FALSE,"middle",TRUE,12,FALSE,FALSE,TRUE,"middle","left",FALSE,FALSE,TRUE,"middle","right",3655.70000000298,1320.39999999851,FALSE
"5c5cad3e4ee81200018eafe2","Chopsticks",5,"Bubbles",4,"Juice",4,"left",FALSE,"right",TRUE,12,FALSE,FALSE,TRUE,"right","middle",FALSE,FALSE,TRUE,"right","left",1475.69999998808,1921.69999998808,FALSE
"5bc5be2572df5f00014479f9","Carrots",1,"Tree",5,"Teddy Bear",5,"middle",FALSE,"left",TRUE,12,FALSE,TRUE,FALSE,"left","left",FALSE,TRUE,FALSE,"left","middle",2429.90000000037,1652.60000000149,FALSE
"5f8f436e4676a71879786b95","Spoon",2,"Pajamas",2,"Fries",2,"left",FALSE,"middle",FALSE,12,FALSE,TRUE,FALSE,"right","right",FALSE,FALSE,TRUE,"middle","left",1614.90000000596,3715.60000000894,FALSE
"669053bbebafdd430e770142","Princess",1,"Pan",1,"Mouth",1,"middle",FALSE,"right",FALSE,12,TRUE,FALSE,FALSE,"middle","left",FALSE,FALSE,TRUE,"right","middle",3238.10000038147,5407.20000076294,FALSE
"677419f93048c66d62d2bf87","Crown",1,"Leg",1,"Wing",1,"right",FALSE,"right",TRUE,12,TRUE,FALSE,FALSE,"right","middle",TRUE,FALSE,FALSE,"right","right",3679,2814,FALSE
"574aff1b5bef980007af2745","Popsicle",4,"Chips",3,"Arm",3,"right",FALSE,"left",FALSE,12,TRUE,FALSE,FALSE,"right","middle",FALSE,FALSE,TRUE,"left","right",2776,4212,FALSE
"58404fd8ad98e40001ce915f","Rain",4,"CD",4,"Spaghetti",4,"right",FALSE,"right",TRUE,12,TRUE,FALSE,FALSE,"right","left",TRUE,FALSE,FALSE,"right","right",4853.5,1480.19999999925,FALSE
"5de8887aa2db898017debf1a","Candle",5,"Socks",3,"Shirt",3,"left",FALSE,"left",TRUE,12,TRUE,FALSE,FALSE,"left","right",TRUE,FALSE,FALSE,"left","left",2214.5,1899.20000001788,FALSE
"59d949cf8fd07a000184247e","Spider",2,"Butterfly",5,"Ostrich",5,"right",FALSE,"right",TRUE,12,TRUE,FALSE,FALSE,"right","middle",TRUE,FALSE,FALSE,"right","right",3745.19999992847,2381.30000007153,FALSE
"662945728093113a43ab8077","Gorilla",1,"Puppets",5,"Paper",5,"middle",FALSE,"middle",TRUE,12,TRUE,FALSE,FALSE,"middle","left",TRUE,FALSE,FALSE,"middle","middle",2769.29999995232,1541.60000014305,TRUE
"676058418c08c71e4bb7cbd1","Cereal",2,"Pancakes",1,"Glasses",1,"right",FALSE,"left",TRUE,12,FALSE,FALSE,TRUE,"left","middle",FALSE,FALSE,TRUE,"left","right",4042.70000004768,4484.5,TRUE
"6643d22289210a4edf21e84d","Lion",3,"Bee",5,"Tiger",5,"right",FALSE,"right",TRUE,12,TRUE,FALSE,FALSE,"right","middle",TRUE,FALSE,FALSE,"right","right",1454.10000014305,1190.19999980927,FALSE
"58954e2dc88c680001dd4b7e","Hat",3,"Candle",3,"Duck",3,"left",FALSE,"middle",TRUE,12,FALSE,TRUE,FALSE,"middle","middle",FALSE,TRUE,FALSE,"middle","left",2309.69999999925,3930.89999999851,TRUE
