success,trial_type,trial_index,time_elapsed,internal_node_id,STUDY_ID,PROLIFIC_PID,SESSION_ID,participant_number,reconstruction_instructions,comprehend_reconstruction,nonpretend_instructions,comprehend_np,nickname,bonus,condition,view_history,rt,responses,question_order,correct,test_part,grid,already_clicked,click_log,final_grid_state,num_clicks,cheat,round_points,misses,grid_number
,instructions,10,136828,0.0-4.0-4.0-1.1,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"[{""""page_index"""":0,""""viewing_time"""":2015}]",2015,"","",,"","","","","",,,,,
,findSquares,11,171504,0.0-4.0-4.0-0.2,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"",,"","",,non-pretend,"[['1', '1', '0', '0', '1', '1'], ['0', '0', '0', '0', '0', '0'], ['0', '0', '0', '0', '0', '0'], ['1', '0', '0', '0', '0', '1'], ['1', '1', '0', '0', '1', '1'], ['0', '0', '0', '0', '0', '0']]","[[0, 1], [0, 5], [4, 0], [4, 4]]","{'i': [5, 0, 1, 0, 0, 1, 2, 1, 4, 4, 0, 4, 5, 3, 3, 1, 1, 5, 3], 'j': [5, 4, 5, 2, 3, 3, 4, 4, 5, 1, 0, 3, 4, 4, 5, 0, 1, 0, 0], 't': [2061, 3992, 5436, 6667, 7510, 8438, 9779, 10714, 12797, 13866, 14771, 21329, 22372, 23812, 25878, 28714, 30185, 31893, 32669], 'hit': ['0', '1', '0', '0', '0', '0', '0', '0', '1', '1', '1', '0', '0', '0', '1', '0', '0', '0', '1'], 'b': []}","[['black', 'black', 'white', 'white', 'black', 'black'], ['white', 'white', 'unknown', 'white', 'white', 'white'], ['unknown', 'unknown', 'unknown', 'unknown', 'white', 'unknown'], ['black', 'unknown', 'unknown', 'unknown', 'white', 'black'], ['black', 'black', 'unknown', 'white', 'black', 'black'], ['white', 'unknown', 'unknown', 'unknown', 'white', 'white']]",19,0,13,,4
,instructions,12,174312,0.0-4.0-4.0-1.2,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"[{""""page_index"""":0,""""viewing_time"""":2807}]",2808,"","",,"","","","","",,,,,
,findSquares,13,197545,0.0-4.0-4.0-0.3,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"",,"","",,non-pretend,"[['0', '0', '0', '0', '0', '0'], ['0', '0', '1', '1', '0', '0'], ['0', '0', '1', '1', '0', '0'], ['0', '1', '0', '0', '1', '0'], ['0', '1', '0', '0', '1', '0'], ['0', '1', '0', '0', '1', '0']]","[[1, 2], [4, 4], [5, 1]]","{'i': [1, 1, 4, 4, 3, 4, 4, 5, 3, 2, 1, 2, 2, 2, 5], 'j': [1, 3, 3, 5, 4, 1, 2, 2, 1, 4, 4, 1, 2, 3, 4], 't': [1499, 3256, 5382, 6280, 7384, 9250, 10651, 11493, 12923, 14985, 16121, 17871, 18726, 19551, 21225], 'hit': ['0', '1', '0', '0', '1', '1', '0', '0', '1', '0', '0', '0', '1', '1', '1'], 'b': []}","[['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown'], ['unknown', 'white', 'black', 'black', 'white', 'unknown'], ['unknown', 'white', 'black', 'black', 'white', 'unknown'], ['unknown', 'black', 'unknown', 'unknown', 'black', 'unknown'], ['unknown', 'black', 'white', 'white', 'black', 'white'], ['unknown', 'black', 'white', 'unknown', 'black', 'unknown']]",15,0,18,,3
,instructions,14,199146,0.0-4.0-4.0-1.3,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"[{""""page_index"""":0,""""viewing_time"""":1601}]",1601,"","",,"","","","","",,,,,
,instructions,15,200961,0.0-4.0-5.0,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"[{""""page_index"""":0,""""viewing_time"""":1813}]",1813,"","",,"","","","","",,,,,
,instructions,16,214705,0.0-4.0-6.0-0.0,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"[{""""page_index"""":0,""""viewing_time"""":2707},{""""page_index"""":1,""""viewing_time"""":4227},{""""page_index"""":2,""""viewing_time"""":1349},{""""page_index"""":3,""""viewing_time"""":5461}]",13744,"","",,"","","","","",,,,,
,survey-multi-choice,17,218300,0.0-4.0-6.0-1.0,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"",3593,"{""""Q0"""":""""... <b>repeat</b> my clicks from the first round, in the same order""""}",[0],1,multichoice_reconstruction,"","","","",,,,,
,instructions,18,221400,0.0-4.0-7.0,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"[{""""page_index"""":0,""""viewing_time"""":3100}]",3100,"","",,"","","","","",,,,,
,findSquares,19,245198,0.0-4.0-8.0,6978a4c5f1475ddbda96cde5,601623c50446147b23a5bdff,6978ad4b63e6c52637ea0cde,16,1,TRUE,1,TRUE,Player 16,63,symmetric,"",,"","",,memory,"[['0', '0', '0', '0', '0', '0'], ['1', '1', '0', '0', '1', '1'], ['0', '0', '0', '0', '0', '0'], ['1', '0', '0', '0', '0', '1'], ['1', '1', '0', '0', '1', '1'], ['0', '0', '0', '0', '0', '0']]","[[1, 1], [1, 5], [3, 5], [4, 0]]","{'i': [4, 2, 4, 1, 1, 1, 3, 4, 3, 4, 3], 'j': [1, 5, 5, 4, 2, 0, 4, 4, 1, 2, 0], 't': [1369, 7190, 8205, 11235, 12932, 14410, 16973, 17860, 20032, 20949, 21787], 'hit': ['1', '0', '1', '1', '0', '1', '0', '1', '0', '0', '1'], 'b': []}","[['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown'], ['black', 'black', 'white', 'unknown', 'black', 'black'], ['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'white'], ['black', 'white', 'unknown', 'unknown', 'white', 'black'], ['black', 'black', 'white', 'unknown', 'black', 'black'], ['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']]",11,0,21,,1
