success,trial_type,trial_index,time_elapsed,internal_node_id,STUDY_ID,PROLIFIC_PID,SESSION_ID,participant_number,reconstruction_instructions,comprehend_reconstruction,nonpretend_instructions,comprehend_np,nickname,bonus,condition,view_history,rt,responses,question_order,correct,test_part,grid,already_clicked,click_log,final_grid_state,num_clicks,cheat,round_points,misses,grid_number
1,fullscreen,0,3068,0.0-0.0,6978f7723afd6296bd3c6be6,662948ed99960b11f2f8e3fe,6978fbe7123a2347afd6403a,261,1,TRUE,1,TRUE,Player 261,60,asymmetric,"",,"","",,"","","","","",,,,,
,instructions,1,133974,0.0-1.0,6978f7723afd6296bd3c6be6,662948ed99960b11f2f8e3fe,6978fbe7123a2347afd6403a,261,1,TRUE,1,TRUE,Player 261,60,asymmetric,"[{""""page_index"""":0,""""viewing_time"""":16172.399999976158},{""""page_index"""":1,""""viewing_time"""":9539.799999952316},{""""page_index"""":2,""""viewing_time"""":26198},{""""page_index"""":3,""""viewing_time"""":5799.700000047684},{""""page_index"""":4,""""viewing_time"""":6858.199999928474},{""""page_index"""":3,""""viewing_time"""":1277.7000000476837},{""""page_index"""":2,""""viewing_time"""":602.5},{""""page_index"""":1,""""viewing_time"""":870.5},{""""page_index"""":0,""""viewing_time"""":32942.799999952316},{""""page_index"""":1,""""viewing_time"""":6256.400000095367},{""""page_index"""":2,""""viewing_time"""":4532},{""""page_index"""":3,""""viewing_time"""":4546.699999928474},{""""page_index"""":4,""""viewing_time"""":15306.200000047684}]",130903.199999928,"","",,"","","","","",,,,,
,survey-multi-choice,2,176695,0.0-2.0,6978f7723afd6296bd3c6be6,662948ed99960b11f2f8e3fe,6978fbe7123a2347afd6403a,261,1,TRUE,1,TRUE,Player 261,60,asymmetric,"",42719.7000000477,"{""""Q0"""":""""... find all black cards whilst revealing as <b>few white cards</b> as possible""""}",[0],1,multichoice_part1,"","","","",,,,,
,instructions,3,185790,0.0-4.0-0.0,6978f7723afd6296bd3c6be6,662948ed99960b11f2f8e3fe,6978fbe7123a2347afd6403a,261,1,TRUE,1,TRUE,Player 261,60,asymmetric,"[{""""page_index"""":0,""""viewing_time"""":9094.600000023842}]",9094.70000004768,"","",,"","","","","",,,,,
,findSquares,4,207919,0.0-4.0-1.0,6978f7723afd6296bd3c6be6,662948ed99960b11f2f8e3fe,6978fbe7123a2347afd6403a,261,1,TRUE,1,TRUE,Player 261,60,asymmetric,"",,"","",,"","[['0', '0', '0', '0'], ['1', '1', '1', '1'], ['1', '1', '1', '1'], ['0', '0', '0', '0']]","[[2, 2]]","{'i': [2, 1, 3, 0, 1, 1, 1, 0, 2, 2], 'j': [1, 1, 1, 1, 2, 0, 3, 2, 3, 0], 't': [2515.5, 4345.700000047684, 7104.299999952316, 10270.299999952316, 11134.600000023842, 12939.399999976158, 15675.399999976158, 17405.700000047684, 18285.299999952316, 20115.399999976158], 'hit': ['1', '1', '0', '0', '1', '1', '1', '0', '1', '1'], 'b': []}","[['unknown', 'white', 'white', 'unknown'], ['black', 'black', 'black', 'black'], ['black', 'black', 'black', 'black'], ['unknown', 'white', 'unknown', 'unknown']]",10,0,5,,
,instructions,5,210941,0.0-4.0-2.0,6978f7723afd6296bd3c6be6,662948ed99960b11f2f8e3fe,6978fbe7123a2347afd6403a,261,1,TRUE,1,TRUE,Player 261,60,asymmetric,"[{""""page_index"""":0,""""viewing_time"""":3021.100000023842}]",3021.19999992847,"","",,"","","","","",,,,,
,instructions,6,270817,0.0-4.0-3.0,6978f7723afd6296bd3c6be6,662948ed99960b11f2f8e3fe,6978fbe7123a2347afd6403a,261,1,TRUE,1,TRUE,Player 261,60,asymmetric,"[{""""page_index"""":0,""""viewing_time"""":55462},{""""page_index"""":1,""""viewing_time"""":4413.699999928474}]",59875.7999999523,"","",,"","","","","",,,,,
,findSquares,7,480614,0.0-4.0-4.0-0.0,6978f7723afd6296bd3c6be6,662948ed99960b11f2f8e3fe,6978fbe7123a2347afd6403a,261,1,TRUE,1,TRUE,Player 261,60,asymmetric,"",,"","",,non-pretend,"[['0', '0', '0', '0', '0', '0'], ['1', '1', '0', '0', '1', '1'], ['0', '0', '0', '0', '0', '0'], ['1', '0', '0', '0', '0', '1'], ['1', '1', '0', '0', '1', '1'], ['0', '0', '0', '0', '0', '0']]","[[1, 1], [1, 5], [3, 5], [4, 0]]","{'i': [1, 3, 4, 1, 2, 2, 2, 2, 1, 1, 0, 2, 2, 5, 0, 0, 4, 4], 'j': [0, 0, 5, 4, 5, 0, 1, 4, 2, 3, 1, 2, 3, 5, 0, 5, 1, 4], 't': [32968.89999997616, 91921.59999990463, 95314.39999997616, 125274.69999992847, 158553.79999995232, 159576.79999995232, 164498.69999992847, 165516.69999992847, 193042.69999992847, 193599.69999992847, 195027.59999990463, 202916.69999992847, 204044.69999992847, 204581.5, 205401.69999992847, 206009.69999992847, 206800.5, 207783.69999992847], 'hit': ['1', '1', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1'], 'b': []}","[['white', 'white', 'unknown', 'unknown', 'unknown', 'white'], ['black', 'black', 'white', 'white', 'black', 'black'], ['white', 'white', 'white', 'white', 'white', 'white'], ['black', 'unknown', 'unknown', 'unknown', 'unknown', 'black'], ['black', 'black', 'unknown', 'unknown', 'black', 'black'], ['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'white']]",18,0,14,,1
,instructions,8,484570,0.0-4.0-4.0-1.0,6978f7723afd6296bd3c6be6,662948ed99960b11f2f8e3fe,6978fbe7123a2347afd6403a,261,1,TRUE,1,TRUE,Player 261,60,asymmetric,"[{""""page_index"""":0,""""viewing_time"""":3955.5}]",3955.80000007153,"","",,"","","","","",,,,,
,findSquares,9,731920,0.0-4.0-4.0-0.1,6978f7723afd6296bd3c6be6,662948ed99960b11f2f8e3fe,6978fbe7123a2347afd6403a,261,1,TRUE,1,TRUE,Player 261,60,asymmetric,"",,"","",,non-pretend,"[['0', '0', '0', '0', '0', '0'], ['0', '0', '1', '1', '0', '0'], ['0', '0', '1', '0', '0', '0'], ['0', '1', '0', '0', '1', '0'], ['0', '1', '0', '0', '1', '1'], ['0', '1', '0', '0', '1', '0']]","[[1, 2], [4, 4], [5, 1]]","{'i': [4, 5, 5, 4, 1, 1, 2, 3, 4, 0, 3, 0, 5], 'j': [5, 0, 2, 1, 1, 3, 2, 1, 3, 2, 4, 3, 4], 't': [8864.599999904633, 9911.599999904633, 10836.699999928474, 11550.699999928474, 13217.699999928474, 13926.699999928474, 15095.699999928474, 19173.5, 21562.799999952316, 24478.599999904633, 25588.699999928474, 239964.19999992847, 245337.39999997616], 'hit': ['1', '0', '0', '1', '0', '1', '1', '1', '0', '0', '1', '0', '1'], 'b': []}","[['unknown', 'unknown', 'white', 'white', 'unknown', 'unknown'], ['unknown', 'white', 'black', 'black', 'unknown', 'unknown'], ['unknown', 'unknown', 'black', 'unknown', 'unknown', 'unknown'], ['unknown', 'black', 'unknown', 'unknown', 'black', 'unknown'], ['unknown', 'black', 'unknown', 'white', 'black', 'black'], ['white', 'black', 'white', 'unknown', 'black', 'unknown']]",13,0,20,,9
